756;;55910
756;-1;10147455
756;1;605837
756;10;723963
756;10003;116684
756;10004;884998
756;10005;141692
756;10006;372965
756;10008;208420
756;10009;107653
756;1001;1011078
756;10010;873955
756;10011;774899
756;10012;301163
756;10013;725684
756;10014;129937
756;10016;464167
756;10017;37330
756;10019;16087
756;10020;153399
756;10021;123550
756;11;538666
756;12;2539893
756;13;152308
756;2;17615626
756;3;689400
756;4;861271
756;5;1453467
756;6;615336
756;7;6644233
756;8;324836
756;9;460485
759;;1947
759;-1;846562
759;1;20428
759;10;53806
759;10003;7247
759;10004;56272
759;10005;7769
759;10006;24342
759;10008;15040
759;10009;3633
759;1001;49223
759;10010;41405
759;10011;38037
759;10012;11300
759;10013;44334
759;10014;10028
759;10016;29995
759;10017;945
759;10019;1576
759;10020;12190
759;10021;8517
759;11;29838
759;12;206372
759;13;5242
759;2;2034051
759;3;28816
759;4;49409
759;5;73795
759;6;8109
759;7;327817
759;8;9319
759;9;29198
